"","game_id","team_id","home.away","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","winner","gameDate","gameType","attendance","arenaId","gameLabel","seriesGameNumber","gameSubLabel","coach","whos_favored","spread","total","moneyline_away","moneyline_home","h2_spread","h2_total","id_spread","id_total"
"187","202411040ATL","ATL","home",240,37,89,0.416,6,31,0.194,13,16,0.813,8,35,43,23,9,3,20,13,93,"False","2024-11-04 19:45:00","Regular Season",15031,650,"0",0,"0","Quin Snyder","away",10.5,232.5,NA,NA,NA,NA,1,0
"188","202411040ATL","BOS","away",240,48,99,0.485,18,55,0.327,9,13,0.692,11,39,50,27,15,7,13,14,123,"True","2024-11-04 19:45:00","Regular Season",15031,650,"0",0,"0","Joe Mazzulla","away",10.5,232.5,NA,NA,NA,NA,1,0
"189","202411040BRK","BRK","home",240,40,84,0.476,13,36,0.361,13,18,0.722,12,25,37,28,7,1,14,22,106,"True","2024-11-04 20:00:00","Regular Season",18088,461,"0",0,"0","Jordi Fernandez","away",4.5,223.5,NA,NA,NA,NA,0,0
"190","202411040BRK","MEM","away",240,43,91,0.473,8,30,0.267,10,13,0.769,13,31,44,29,5,8,15,16,104,"False","2024-11-04 20:00:00","Regular Season",18088,461,"0",0,"0","Taylor Jenkins","away",4.5,223.5,NA,NA,NA,NA,0,0
"191","202411040CHI","CHI","home",240,45,95,0.474,14,37,0.378,22,25,0.88,10,26,36,36,7,7,9,23,126,"False","2024-11-04 20:30:00","Regular Season",19621,66,"0",0,"0","Billy Donovan","home",7.5,229.5,NA,NA,NA,NA,0,1
"192","202411040CHI","UTA","away",240,48,89,0.539,16,36,0.444,23,30,0.767,12,37,49,35,3,6,13,18,135,"True","2024-11-04 20:30:00","Regular Season",19621,66,"0",0,"0","Will Hardy","home",7.5,229.5,NA,NA,NA,NA,0,1
"193","202411040CLE","CLE","home",240,46,91,0.505,17,37,0.459,7,13,0.538,5,34,39,28,10,4,10,15,116,"True","2024-11-04 19:00:00","Regular Season",19432,1000006,"0",0,"0","Kenny Atkinson","home",8.5,228.5,NA,NA,NA,NA,0,1
"194","202411040CLE","MIL","away",240,42,86,0.488,17,35,0.486,13,15,0.867,7,42,49,21,6,6,15,15,114,"False","2024-11-04 19:00:00","Regular Season",19432,1000006,"0",0,"0","Doc Rivers","home",8.5,228.5,NA,NA,NA,NA,0,1
"195","202411040DAL","DAL","home",240,46,89,0.517,15,36,0.417,20,25,0.8,5,33,38,29,4,3,9,18,127,"False","2024-11-04 21:45:00","Regular Season",19613,193,"0",0,"0","Jason Kidd","home",4.5,236.5,NA,NA,NA,NA,0,1
"196","202411040DAL","IND","away",240,54,95,0.568,13,32,0.406,13,20,0.65,7,39,46,30,5,3,10,16,134,"True","2024-11-04 21:45:00","Regular Season",19613,193,"0",0,"0","Rick Carlisle","home",4.5,236.5,NA,NA,NA,NA,0,1
"197","202411040DEN","DEN","home",240,41,83,0.494,10,31,0.323,29,38,0.763,14,30,44,29,9,10,17,21,121,"True","2024-11-04 22:00:00","Regular Season",19525,1000046,"0",0,"0","Michael Malone","home",11.5,231.5,NA,NA,NA,NA,0,1
"198","202411040DEN","TOR","away",240,47,103,0.456,13,39,0.333,12,18,0.667,14,27,41,38,12,3,14,27,119,"False","2024-11-04 22:00:00","Regular Season",19525,1000046,"0",0,"0","Darko Rajakovic","home",11.5,231.5,NA,NA,NA,NA,0,1
"199","202411040DET","DET","home",240,45,96,0.469,8,34,0.235,17,22,0.773,17,38,55,22,6,5,12,25,115,"True","2024-11-04 19:30:00","Regular Season",20062,624,"0",0,"0","J.B. Bickerstaff","away",6.5,225.5,NA,NA,NA,NA,0,0
"200","202411040DET","LAL","away",240,37,85,0.435,9,25,0.36,20,27,0.741,7,30,37,28,8,1,13,16,103,"False","2024-11-04 19:30:00","Regular Season",20062,624,"0",0,"0","JJ Redick","away",6.5,225.5,NA,NA,NA,NA,0,0
"201","202411040HOU","HOU","home",240,43,88,0.489,8,33,0.242,15,18,0.833,11,39,50,21,4,6,11,20,109,"True","2024-11-04 20:45:00","Regular Season",16417,215,"0",0,"0","Ime Udoka","away",2.5,218.5,NA,NA,NA,NA,0,0
"202","202411040HOU","NYK","away",240,34,88,0.386,11,28,0.393,18,21,0.857,13,26,39,20,6,4,10,18,97,"False","2024-11-04 20:45:00","Regular Season",16417,215,"0",0,"0","Tom Thibodeau","away",2.5,218.5,NA,NA,NA,NA,0,0
"203","202411040LAC","LAC","home",240,41,90,0.456,19,37,0.514,12,17,0.706,16,28,44,25,6,7,11,21,113,"True","2024-11-04 22:30:00","Regular Season",15927,1000137,"0",0,"0","Tyronn Lue","home",4.5,215.5,NA,NA,NA,NA,1,1
"204","202411040LAC","SAS","away",240,38,86,0.442,11,41,0.268,17,19,0.895,12,33,45,22,9,10,14,16,104,"False","2024-11-04 22:30:00","Regular Season",15927,1000137,"0",0,"0","Gregg Popovich","home",4.5,215.5,NA,NA,NA,NA,1,1
"205","202411040MIA","MIA","home",240,37,85,0.435,15,36,0.417,21,30,0.7,8,28,36,24,9,6,11,15,110,"False","2024-11-04 20:15:00","Regular Season",19604,1000100,"0",0,"0","Erik Spoelstra","home",0.5,224.5,NA,NA,NA,NA,0,0
"206","202411040MIA","SAC","away",240,44,86,0.512,10,27,0.37,13,15,0.867,11,28,39,23,5,4,14,28,111,"True","2024-11-04 20:15:00","Regular Season",19604,1000100,"0",0,"0","Mike Brown","home",0.5,224.5,NA,NA,NA,NA,0,0
"207","202411040MIN","MIN","home",240,39,79,0.494,18,38,0.474,18,26,0.692,9,36,45,23,7,8,15,19,114,"True","2024-11-04 21:00:00","Regular Season",18978,61,"0",0,"0","Chris Finch","home",11.5,225.5,NA,NA,NA,NA,1,0
"208","202411040MIN","CHO","away",240,35,88,0.398,10,42,0.238,13,16,0.813,9,29,38,19,10,1,14,22,93,"False","2024-11-04 21:00:00","Regular Season",18978,61,"0",0,"0","Charles Lee","home",11.5,225.5,NA,NA,NA,NA,1,0
