"","gameid","date","type","teamid","team","home","away","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","X...","win","season","at.home","div","opponent"
"243",22300010,"2023-11-10","regular",1610612751,"BKN","BOS","BKN",48,107,38,85,44.7,15,37,40.5,16,18,88.9,9,37,46,26,12,0,3,25,-14,"No",2024,FALSE,"East","BOS"
"244",22300010,"2023-11-10","regular",1610612738,"BOS","BOS","BKN",48,121,41,94,43.6,19,52,36.5,20,28,71.4,17,35,52,29,8,5,3,13,14,"Yes",2024,TRUE,"East","BKN"
"245",22300011,"2023-11-10","regular",1610612745,"HOU","HOU","NOP",48,104,36,88,40.9,10,35,28.6,22,28,78.6,9,33,42,20,9,9,5,22,3,"Yes",2024,TRUE,"West","NOP"
"246",22300011,"2023-11-10","regular",1610612740,"NOP","HOU","NOP",48,101,34,75,45.3,8,25,32,25,34,73.5,8,41,49,12,18,6,6,26,-3,"No",2024,FALSE,"West","HOU"
"247",22300012,"2023-11-10","regular",1610612763,"MEM","MEM","UTA",48,121,46,101,45.5,19,48,39.6,10,13,76.9,14,23,37,23,11,5,5,23,-6,"No",2024,TRUE,"West","UTA"
"248",22300012,"2023-11-10","regular",1610612762,"UTA","MEM","UTA",48,127,41,76,53.9,18,37,48.6,27,29,93.1,8,30,38,28,21,10,12,17,6,"Yes",2024,FALSE,"West","MEM"
"249",22300013,"2023-11-10","regular",1610612750,"MIN","SAS","MIN",48,117,43,87,49.4,10,27,37,21,27,77.8,13,38,51,23,18,6,4,19,7,"Yes",2024,FALSE,"West","SAS"
"250",22300013,"2023-11-10","regular",1610612759,"SAS","SAS","MIN",48,110,43,92,46.7,12,34,35.3,12,19,63.2,7,31,38,29,14,9,8,21,-7,"No",2024,TRUE,"West","MIN"
"251",22300014,"2023-11-10","regular",1610612742,"DAL","DAL","LAC",48,144,51,98,52,19,42,45.2,23,26,88.5,15,26,41,30,9,7,1,23,18,"Yes",2024,TRUE,"West","LAC"
"252",22300014,"2023-11-10","regular",1610612746,"LAC","DAL","LAC",48,126,43,88,48.9,8,27,29.6,32,36,88.9,19,28,47,21,14,7,2,27,-18,"No",2024,FALSE,"West","DAL"
